"year","Water_Type","WF_Crop","imports_km3","exports_km3","net_trade_km3"
1997,"Green_Irrigated","Sugar",0,1.55423160574841e-06,-1.55423160574841e-06
1997,"Blue_Irrigated","Sugar",0,1.46170542695005e-06,-1.46170542695005e-06
1999,"Blue_Irrigated","Sugar",0,1.32082051496066e-06,-1.32082051496066e-06
1999,"Green_Irrigated","Sugar",0,1.04774095071894e-06,-1.04774095071894e-06
1998,"Green_Irrigated","Sugar",1.7608106258914e-07,1.10114358467909e-06,-9.25062522089951e-07
1998,"Blue_Irrigated","Sugar",9.85970403085112e-08,1.00981718430487e-06,-9.1122014399636e-07
1996,"Green_Irrigated","Sugar",0,7.97251909639629e-07,-7.97251909639629e-07
1996,"Blue_Irrigated","Sugar",0,6.96897314929646e-07,-6.96897314929646e-07
2000,"Blue_Irrigated","Sugar",5.07672198398195e-09,3.57224688609528e-07,-3.52147966625546e-07
2000,"Green_Irrigated","Sugar",5.46727952399587e-09,2.83637498466723e-07,-2.78170218942727e-07
