Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Hungary,HUN,0.918442905,0.796646118,0.669904828,0.737792492,0.64338094,0.796199262,0.737417698,0.761821568,0.836977124,0.798463762,0.635951281
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Iceland,ISL,1.575330615,1.287133694,1.246974587,1.298480988,1.346588731,1.337684989,1.394577146,1.61964798,1.374937654,1.372178674,1.262935281
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,India,IND,-1.00120759,-1.229174137,-0.99791199,-0.954773545,-0.960426509,-0.774099052,-0.997705162,-0.796840608,-0.841136158,-0.691997945,-0.568608165
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Indonesia,IDN,-1.995200634,-0.519264638,-0.416824043,-0.619956315,-0.379699737,-0.5049389,-0.552077413,-0.502156675,-0.462322682,-0.531467199,-0.439423859
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Iran, Islamic Rep.",IRN,-0.727548361,-1.249686599,-0.874987662,-0.924846888,-0.814020634,-0.933828712,-1.342144251,-1.711465359,-1.699162006,-1.584384561,-1.586439133
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Iraq,IRQ,-1.73264277,-2.011390448,-2.480337858,-2.250779629,-2.303333044,-2.295948267,-2.520958185,-2.609148026,-2.474690437,-2.384559393,-2.473924637
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Ireland,IRL,1.584100127,0.901075721,1.052991152,0.895332575,0.833849669,0.99340868,1.011168242,0.95930326,0.965446055,0.84353143,0.881889522
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Israel,ISR,-1.041991234,-1.101284742,-1.039735317,-1.097817302,-0.799367249,-0.894905567,-0.918106616,-0.8155604,-0.887810647,-1.122282505,-1.28531599
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Italy,ITA,0.916669428,0.495499194,0.458165407,0.3632572,0.355933428,0.292909652,0.32613951,0.381040454,0.39929536,0.550413907,0.413505375
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Jamaica,JAM,0.18639648,0.182374373,0.024492532,0.085965723,0.29546842,0.298302531,0.423851728,0.388235539,0.258638471,0.217914656,0.379746348
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Japan,JPN,1.197552681,1.019141912,0.968597353,1.054220557,0.968189001,1.100126505,1.037358642,1.019695044,1.026066899,1.015356421,1.073910952
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Jersey, Channel Islands",JEY,..,1.485056996,1.464952469,1.533043027,1.319146872,1.277439713,1.270128131,1.280074358,1.328706861,1.284423351,1.619478703
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Jordan,JOR,0.000209701,-0.606315255,-0.540025532,-0.60686487,-0.496246248,-0.434904039,-0.379783809,-0.274439603,-0.267881632,-0.315793395,-0.296307683
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Kazakhstan,KAZ,0.090090342,-0.402473897,0.036018156,-0.038353074,0.001462973,0.024372295,-0.052698813,-0.167979881,-0.257630289,-0.231327519,-0.356833428
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Kenya,KEN,-1.068352699,-1.166930914,-1.282247186,-1.241347909,-1.354456544,-1.128438354,-1.179692149,-1.105736017,-1.007226825,-1.032414198,-0.94308722
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Kiribati,KIR,..,1.28392601,0.801865816,0.821486235,0.846926332,0.855434954,0.998590291,1.124233007,1.163732648,1.13891089,1.11602664
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Korea, Dem. People's Rep.",PRK,-0.015158058,-0.441554099,-1.134743333,-1.151740313,-0.684034169,-0.500023603,-0.340751916,-0.286907196,-0.378693789,-0.477292448,-0.412224323
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Korea, Rep.",KOR,0.398045033,0.278578639,0.108568802,0.156361043,0.153576508,0.38189283,0.638081014,0.546021044,0.608559489,0.629525959,0.56241101
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Kosovo,XKX,..,-0.966146648,-0.340774536,-0.200406447,-0.285933346,-0.244493425,-0.675402105,-0.348640084,-0.279240251,-0.113625251,-0.252448589
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Kuwait,KWT,0.752232671,0.16605559,0.149006546,-0.219549298,-0.056500711,-0.051229637,0.090533733,0.175113589,0.225190043,0.262982517,0.281217426
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Kyrgyz Republic,KGZ,-0.182534769,-0.911773801,-0.804615676,-0.882429659,-0.65201968,-0.362933785,-0.529558122,-0.266192228,-0.456187993,-0.467156112,-0.546579063
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Lao PDR,LAO,-0.577913404,0.0674439,0.498692989,0.538871527,0.524906516,0.394011855,0.407829285,0.530268252,0.693885386,0.71241802,0.80272752
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Latvia,LVA,0.41943416,0.593635261,0.487268358,0.43631041,0.467219561,0.452953696,0.395304829,0.426793516,0.462128848,0.673323035,0.480724365
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Lebanon,LBN,-0.439044535,-1.690353394,-1.697941303,-1.698364496,-1.615684032,-1.622226834,-1.621535778,-1.67229104,-1.62113452,-1.481944561,-1.473512411
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Lesotho,LSO,0.096109748,0.338074297,-0.332812041,-0.318707615,-0.244855866,-0.194125235,-0.188686535,-0.427999049,-0.253533632,-0.213269129,-0.134738371
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Liberia,LBR,-1.952880502,-0.475507081,-0.615449607,-0.817833304,-0.441768199,-0.320534796,-0.203764617,-0.339135408,-0.314182639,-0.286361516,-0.29159987
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Libya,LBY,-0.294286817,-1.844076514,-2.353407145,-2.189651251,-2.274737835,-2.353574753,-2.43496871,-2.565771341,-2.462278366,-2.308345795,-2.197963476
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Liechtenstein,LIE,1.166981459,1.397171617,1.458861828,1.437775135,1.453269958,1.459082961,1.453585505,1.597493172,1.669110894,1.595491529,1.644336104
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Lithuania,LTU,0.428785473,0.964532316,0.742136419,0.749750257,0.814721227,0.76556474,0.729063928,0.77052319,0.921403408,0.80971843,0.653739512
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Luxembourg,LUX,1.60547471,1.335248113,1.378323793,1.426368237,1.403617144,1.31289196,1.347255111,1.333174944,1.212395668,1.193919539,1.063888907
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Macao SAR, China",MAC,0.486361712,0.757722914,1.206168532,1.187453151,1.390567183,1.407128215,1.229578137,1.215290904,1.137468815,1.028874636,1.127567887
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Madagascar,MDG,0.162798807,-0.65999341,-0.557235837,-0.427762926,-0.294186473,-0.30283758,-0.578839123,-0.313983828,-0.509343922,-0.54227978,-0.531038582
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Malawi,MWI,-0.325264573,-0.205809802,0.081093207,0.034293275,-0.116127513,-0.249828547,-0.431270897,-0.286847949,-0.118913285,-0.109315783,-0.15286392
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Malaysia,MYS,0.092691198,0.051791593,0.266619146,0.253947318,0.129485935,0.111208953,0.247989401,0.146066397,0.124463096,0.058753986,0.140358165
